year,P/LP,VUS,Benign,Conflicting,Other,Total
2000,1,0,0,0,0,1
2001,0,0,0,0,0,0
2002,1,0,0,0,0,1
2003,2,0,0,0,0,2
2004,0,0,0,0,0,0
2005,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,0,0,0,0,0,0
2008,2,0,2,0,0,4
2009,2,0,0,0,0,2
2010,0,2,0,0,0,2
2011,6,3,3,0,0,12
2012,0,0,3,0,0,3
2013,2,1,3,0,0,6
2014,4,2,2,0,0,8
2015,2,5,1,0,1,9
2016,1,3,2,0,0,6
2017,4,13,6,0,0,23
2018,4,45,112,4,0,165
2019,2,9,19,0,0,30
2020,8,5,7,0,0,20
2021,11,47,12,0,0,70
2022,16,77,32,1,0,126
2023,152,79,529,17,0,777
2024,51,93,260,41,0,445
2025,79,108,136,57,0,380
2026,10,7,147,111,0,275
